,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.4824221730232239,,,,,,,,,0.0,,500.0,5000.0,4544.0,4979.0,0.0,0.0,10.82488226890564,441.8802330493927
1,1.0,500.0,0.0,0.0,1.3933915793895721,,,,,,,,,0.0,,1000.0,5000.0,4544.0,4979.0,0.0,0.0,10.813178062438965,463.68442392349243
2,2.0,500.0,0.0,0.0,0.6308834552764893,,,,,,,,,0.0,,1500.0,5000.0,4544.0,4979.0,0.0,0.0,10.268084287643433,484.7410523891449
3,3.0,500.0,0.0,0.0,0.8826998174190521,,,,,,,,,0.0,,2000.0,5000.0,4544.0,4979.0,0.0,0.0,10.193676948547363,505.93666982650757
4,4.0,500.0,0.0,0.0,0.5781091451644897,,,,,,,,,0.0,,2500.0,5000.0,4544.0,4979.0,0.0,0.0,10.770943641662598,528.126758813858
5,5.0,500.0,0.0,0.0,0.6437654793262482,0.037711989134550095,-0.5379600186645984,0.026477264240384102,0.02192862145602703,0.0,5.3575779020320624e-05,0.18703404068946838,0.2709436506032944,0.07942228461377171,-2.0653090476989746,3000.0,5000.0,4544.0,4979.0,0.0,16.536312580108643,28.218748807907104,567.8847064971924
6,6.0,500.0,0.0,0.0,0.5381916165351868,0.004635196644812822,-0.9493441226482391,0.02645099349319935,0.021984606981277466,0.0,3.0834551580483094e-05,0.15218865871429443,0.21265608316659929,0.06455286613574422,-1.9347606897354126,3500.0,5000.0,4544.0,4979.0,0.0,16.57592248916626,28.400835752487183,620.3091888427734
7,7.0,500.0,0.0,0.0,0.7942964732646942,0.009207352064549923,-1.316338774204254,0.02636001631617546,0.022014591842889786,0.0,2.870707248803228e-05,0.15069188177585602,0.16489065700769426,0.0537618955974673,-1.5928958654403687,4000.0,5000.0,4544.0,4979.0,0.0,16.637818098068237,28.30564546585083,671.8064880371094
8,8.0,500.0,0.0,0.0,1.3994321823120117,0.015527916140854359,-1.6599772753715516,0.026561638340353966,0.02182629331946373,0.0,3.070760431000963e-05,0.14973072707653046,0.13051142409443856,0.045625416959116115,-1.265660047531128,4500.0,5000.0,4544.0,4979.0,0.0,15.000077486038208,26.945428133010864,721.6522414684296
9,9.0,500.0,0.0,0.0,0.6220981776714325,0.026802947744727135,-1.990082408428192,0.026368921622633934,0.021813886240124702,0.0,2.8264872526051477e-05,0.14817538857460022,0.10475835928320884,0.03931720628781853,-0.9425429701805115,5000.0,5000.0,4544.0,4979.0,0.0,15.03444242477417,26.889821767807007,771.4086031913757
10,10.0,500.0,0.0,0.0,0.8672207295894623,0.03425227478146553,-2.3053659019470216,0.026401592418551445,0.02181566320359707,0.0,3.183877925039269e-05,0.14852920174598694,0.08585933277010918,0.0342741974480974,-0.6739205121994019,5500.0,5000.0,4544.0,4979.0,0.0,15.058149337768555,26.9085431098938,820.5781273841858
11,11.0,500.0,0.0,0.0,0.3982701301574707,0.04148908331990242,-2.6152237119674684,0.026598431169986725,0.02178497426211834,0.0,2.919314465543721e-05,0.14767108857631683,0.07065057510137558,0.03018754939665355,-0.38945820927619934,6000.0,5000.0,4544.0,4979.0,0.0,15.093820810317993,26.925337553024292,869.8570878505707
12,12.0,500.0,0.0,0.0,0.8662626445293427,0.046350281685590744,-2.9185811100006105,0.02643035165965557,0.021893657743930817,0.0,3.0410754334297962e-05,0.14486320316791534,0.06022653585672379,0.026738770268462185,-0.23629261553287506,6500.0,5000.0,4544.0,4979.0,0.0,15.095018148422241,26.971982717514038,918.7384693622589
13,13.0,500.0,0.0,0.0,1.3995034396648407,0.05262589082121849,-3.226179536819458,0.02644973061978817,0.021828019991517067,0.0,2.884053174057044e-05,0.14383062720298767,0.05051240596175194,0.023858635891231786,0.0031718588434159756,7000.0,5000.0,4544.0,4979.0,0.0,15.101467609405518,27.187973260879517,967.879406452179
14,14.0,500.0,0.0,0.0,0.8429989218711853,0.0657629668712616,-3.5399851531982423,0.02657387964427471,0.021939154714345932,0.0,3.152413046336733e-05,0.14133600890636444,0.0429491311609745,0.021407191952263527,0.20184728503227234,7500.0,5000.0,4544.0,4979.0,0.0,15.104884147644043,26.9686119556427,1018.2054629325867
15,15.0,500.0,0.0,0.0,0.8466018736362457,0.07325536757707596,-3.908032181739807,0.02631465159356594,0.02218366041779518,0.0,2.776103065116331e-05,0.13664279878139496,0.03594909423589707,0.01933846270345793,0.4684508144855499,8000.0,5000.0,4544.0,4979.0,0.0,15.137257099151611,26.175860166549683,1066.9918143749237
16,16.0,500.0,0.0,0.0,0.4191984534263611,0.07238469272851944,-4.3935241050720215,0.026298681274056435,0.021868068724870682,0.0,3.122356065432541e-05,0.13109418749809265,0.027829895563423634,0.017700148418052206,0.9932430982589722,8500.0,5000.0,4544.0,4979.0,0.0,15.14048457145691,27.19800639152527,1116.3696219921112
