,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,500.0,5000.0,0.0,0.0,5000.0,0.0,11.581839323043823,526.7361423969269
1,1.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1000.0,5000.0,0.0,0.0,5500.0,0.0,11.857147932052612,553.105747461319
2,2.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1500.0,5000.0,0.0,0.0,6000.0,0.0,11.818368434906006,578.665308713913
3,3.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2000.0,5000.0,0.0,0.0,6500.0,0.0,11.448386669158936,604.1123631000519
4,4.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2500.0,5000.0,0.0,0.0,7000.0,0.0,11.638742446899414,629.8834080696106
5,5.0,500.0,0.0,0.0,0.0,0.04944978281855583,-0.5828895626664161,0.0,0.0,0.15296094119548798,5.18679698870983e-05,0.1847674399614334,0.2747933720350266,0.0792473262644955,-2.1607489585876465,3000.0,5000.0,0.0,0.0,7500.0,13.378724813461304,26.147976398468018,669.6622321605682
6,6.0,500.0,0.0,0.0,0.0,0.0044136131182312965,-1.0605947620868683,0.0,0.0,0.12595312297344208,2.9302123948582448e-05,0.1510753333568573,0.22493068420886994,0.06397384834416896,-2.3148984909057617,3500.0,5000.0,0.0,0.0,8000.0,13.355047702789307,26.748236417770386,719.7176697254181
7,7.0,500.0,0.0,0.0,0.0,0.004530171398073435,-1.5192855772972107,0.0,0.0,0.1878671944141388,2.9162631108192727e-05,0.15175281465053558,0.18099991595745088,0.05276596107266962,-2.2263071537017822,4000.0,5000.0,0.0,0.0,8500.0,13.408909559249878,26.57440710067749,770.7138376235962
8,8.0,500.0,0.0,0.0,0.0,0.004719199147075415,-2.0323022632598877,0.0,0.0,0.2888437509536743,2.8985883545828983e-05,0.1506708711385727,0.13864558705687524,0.044696235947012414,-1.7051719427108765,4500.0,5000.0,0.0,0.0,9000.0,15.40248990058899,28.48275089263916,823.1282410621643
9,9.0,500.0,0.0,0.0,0.0,0.00463020708411932,-2.5538314990997315,0.0,0.0,0.36274999380111694,2.8511040000012144e-05,0.1492585688829422,0.11151440352201462,0.03845353178857501,-1.3751519918441772,5000.0,5000.0,0.0,0.0,9500.0,13.59417200088501,26.79200506210327,874.0460436344147
10,10.0,500.0,0.0,0.0,0.0,0.0051088714972138405,-3.085019415855408,0.0,0.0,0.4198359251022339,3.134656071779318e-05,0.1499541997909546,0.09213219854235649,0.03343843151724164,-1.134432315826416,5500.0,5000.0,0.0,0.0,10000.0,13.411849021911621,26.770478010177612,924.8236391544342
11,11.0,500.0,0.0,0.0,0.0,0.005409453064203262,-3.608866934776306,0.0,0.0,0.46470311284065247,2.8615146220545284e-05,0.14853499829769135,0.07702656039595604,0.02933379601798418,-0.9149329662322998,6000.0,5000.0,0.0,0.0,10500.0,14.99554443359375,28.009446620941162,976.4472589492798
