,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,500.0,5000.0,0.0,0.0,0.0,0.0,12.437764406204224,549.7776570320129
1,1.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1000.0,5000.0,0.0,0.0,0.0,0.0,12.543123245239258,575.4573855400085
2,2.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1500.0,5000.0,0.0,0.0,0.0,0.0,12.214973449707031,600.9867196083069
3,3.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2000.0,5000.0,0.0,0.0,0.0,0.0,12.01082706451416,626.1868326663971
4,4.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2500.0,5000.0,0.0,0.0,0.0,0.0,11.535558462142944,650.9608838558197
5,5.0,500.0,0.0,0.0,0.0,0.03686026483774185,-0.5700521445870399,0.0,0.0,0.0,0.0,0.0,0.2718491075634956,0.07933173382623433,-2.0910608768463135,3000.0,5000.0,0.0,0.0,0.0,7.3882951736450195,19.342155933380127,697.1156003475189
6,6.0,500.0,0.0,0.0,0.0,0.004179047420620918,-1.0146002643108367,0.0,0.0,0.0,0.0,0.0,0.21562343609333037,0.06435643723973997,-2.0306975841522217,3500.0,5000.0,0.0,0.0,0.0,7.91827130317688,21.234781742095947,745.0368645191193
7,7.0,500.0,0.0,0.0,0.0,0.007083543576300144,-1.4004610452651978,0.0,0.0,0.0,0.0,0.0,0.16770876973867416,0.05351652634460721,-1.7104103565216064,4000.0,5000.0,0.0,0.0,0.0,8.327699661254883,21.12440037727356,792.9250314235687
8,8.0,500.0,0.0,0.0,0.0,0.012790121138095856,-1.7685911550521851,0.0,0.0,0.0,0.0,0.0,0.1322865387201309,0.0453909006537899,-1.3634196519851685,4500.0,5000.0,0.0,0.0,0.0,7.283922433853149,19.50989055633545,839.2518858909607
9,9.0,500.0,0.0,0.0,0.0,0.02042100578546524,-2.115371051311493,0.0,0.0,0.0,0.0,0.0,0.10612571460008621,0.03909912995902645,-1.03407883644104,5000.0,5000.0,0.0,0.0,0.0,7.2375383377075195,20.48277735710144,886.7300515174866
10,10.0,500.0,0.0,0.0,0.0,0.028165699914097786,-2.463182841300964,0.0,0.0,0.0,0.0,0.0,0.08651207962632179,0.03409586061809626,-0.7349360585212708,5500.0,5000.0,0.0,0.0,0.0,8.357868671417236,21.664827346801758,935.2392249107361
11,11.0,500.0,0.0,0.0,0.0,0.03607096150517464,-2.8063655252456665,0.0,0.0,0.0,0.0,0.0,0.07219238016009331,0.029989008502466843,-0.5116040110588074,6000.0,5000.0,0.0,0.0,0.0,8.19158124923706,21.04287314414978,983.1411814689636
12,12.0,500.0,0.0,0.0,0.0,0.04421509429812431,-3.1458012294769286,0.0,0.0,0.0,0.0,0.0,0.060724420949816706,0.02657282472654021,-0.2988779842853546,6500.0,5000.0,0.0,0.0,0.0,7.475870132446289,20.50137948989868,1032.1731464862823
13,13.0,500.0,0.0,0.0,0.0,0.07393775880336761,-3.4820922918319703,0.0,0.0,0.0,0.0,0.0,0.0491441919952631,0.0238063714715929,0.09495539963245392,7000.0,5000.0,0.0,0.0,0.0,7.375190019607544,19.908946752548218,1079.1787068843842
14,14.0,500.0,0.0,0.0,0.0,0.0864390954375267,-3.8962498483657835,0.0,0.0,0.0,0.0,0.0,0.0170473471886944,0.022754184910445157,2.5363259315490723,7500.0,5000.0,0.0,0.0,0.0,7.456382989883423,20.004920721054077,1125.8957300186157
