,episode,num_steps,score,reverse_score,success,critic_loss,actor_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,reverse_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.0,,,,0.0,,500.0,5000.0,0.0,0.0,7.759619951248169,432.26355361938477
1,1.0,500.0,0.0,0.0,0.0,,,,0.0,,1000.0,5000.0,0.0,0.0,7.458677768707275,447.4877941608429
2,2.0,500.0,0.0,0.0,0.0,,,,0.0,,1500.0,5000.0,0.0,0.0,7.750377893447876,463.5357286930084
3,3.0,500.0,0.0,0.0,0.0,,,,0.0,,2000.0,5000.0,0.0,0.0,7.636038780212402,479.1343276500702
4,4.0,500.0,0.0,0.0,0.0,,,,0.0,,2500.0,5000.0,0.0,0.0,7.342999458312988,494.5684492588043
5,5.0,500.0,0.0,0.0,0.0,0.03401830047369003,-0.35194784549996255,0.2891932833790779,0.07915170167232041,-2.48954439163208,3000.0,5000.0,0.0,7.8604466915130615,16.308002710342407,518.3792607784271
6,6.0,500.0,0.0,0.0,0.0,0.0015639655757695436,-0.5971405799388886,0.23645394390821456,0.06387090529232817,-2.6479220390319824,3500.0,5000.0,0.0,7.709592342376709,16.72116756439209,551.705066204071
7,7.0,500.0,0.0,0.0,0.0,0.0012290923623368144,-0.8073057768344879,0.1908871402144432,0.05263901223866641,-2.5802526473999023,4000.0,5000.0,0.0,7.3756935596466064,15.909159660339355,584.2518665790558
8,8.0,500.0,0.0,0.0,0.0,0.0011606309562921524,-0.9958859498500824,0.15655959558486937,0.044100617462267164,-2.4945600032806396,4500.0,5000.0,0.0,7.3504767417907715,15.927209377288818,617.4647784233093
9,9.0,500.0,0.0,0.0,0.0,0.0011934897629544139,-1.166127776145935,0.12796710151433946,0.037531014628995475,-2.286410331726074,5000.0,5000.0,0.0,7.38378381729126,15.761734008789062,650.3595635890961
10,10.0,500.0,0.0,0.0,0.0,0.0012857015244662762,-1.3440122046470642,0.10559847518801689,0.03235530265590629,-2.056436538696289,5500.0,5000.0,0.0,7.3651721477508545,16.691288232803345,683.9376547336578
