,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,500.0,5000.0,0.0,0.0,5000.0,0.0,8.675598621368408,464.045658826828
1,1.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1000.0,5000.0,0.0,0.0,5500.0,0.0,8.291569471359253,484.32183742523193
2,2.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,1500.0,5000.0,0.0,0.0,6000.0,0.0,9.541473388671875,505.186874628067
3,3.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2000.0,5000.0,0.0,0.0,6500.0,0.0,8.558138847351074,524.4662933349609
4,4.0,500.0,0.0,0.0,0.0,,,,,,,,,0.0,,2500.0,5000.0,0.0,0.0,7000.0,0.0,8.908952474594116,544.5281586647034
5,5.0,500.0,0.0,0.0,0.0,0.056097984313964844,-0.39686756397783757,0.0,0.0,0.7969297170639038,0.0001468710252083838,0.1487770676612854,0.2900868610590696,0.07906952622702045,-2.514631509780884,3000.0,5000.0,0.0,0.0,7500.0,14.466888189315796,25.222735166549683,580.0443212985992
6,6.0,500.0,0.0,0.0,0.0,0.018120422959327698,-0.6976594476699829,0.0,0.0,0.8133046627044678,8.258783782366663e-05,0.10757656395435333,0.23530872291326524,0.06387093728990505,-2.6187314987182617,3500.0,5000.0,0.0,0.0,8000.0,13.496034860610962,23.719701290130615,623.8165233135223
7,7.0,500.0,0.0,0.0,0.0,0.020031314343214035,-0.9771827464103698,0.0,0.0,0.827398419380188,6.47039560135454e-05,0.10399054735898972,0.1893008812069893,0.05269760741824797,-2.5216360092163086,4000.0,5000.0,0.0,0.0,8500.0,13.498101472854614,23.491124868392944,667.692193031311
8,8.0,500.0,0.0,0.0,0.0,0.01835763081908226,-1.2331793875694275,0.0,0.0,0.8138828277587891,5.581576260738075e-05,0.10203807055950165,0.15355105286836623,0.0442601334966355,-2.3542940616607666,4500.0,5000.0,0.0,0.0,9000.0,13.87270975112915,23.645935773849487,712.2244181632996
9,9.0,500.0,0.0,0.0,0.0,0.06476046144962311,-1.5948273396492005,0.0,0.0,0.8298906087875366,5.827234053867869e-05,0.10123413056135178,0.12709411069750787,0.037676807091757504,-2.219573736190796,5000.0,5000.0,0.0,0.0,9500.0,14.195441484451294,24.309340953826904,756.6578497886658
10,10.0,500.0,0.0,0.0,0.0,0.02523886412382126,-1.8552755689620972,0.0,0.0,0.8423593640327454,4.733040259452537e-05,0.099481962621212,0.10281630417704582,0.032569636913236014,-1.8658027648925781,5500.0,5000.0,0.0,0.0,10000.0,13.709969758987427,23.576236486434937,800.8045558929443
11,11.0,500.0,0.0,0.0,0.0,0.027308711782097816,-2.1264051432609556,0.0,0.0,0.849539041519165,4.521492155618034e-05,0.09973759204149246,0.08574264311790467,0.028438688675100878,-1.6306138038635254,6000.0,5000.0,0.0,0.0,10500.0,14.171456336975098,24.11278533935547,845.0590634346008
12,12.0,500.0,0.0,0.0,0.0,0.029737895354628563,-2.4348336114883424,0.0,0.0,0.8545937538146973,4.287791307433508e-05,0.09882304072380066,0.07276850959658623,0.025009031985336213,-1.4531610012054443,6500.0,5000.0,0.0,0.0,11000.0,13.569915294647217,23.213128805160522,888.981171131134
13,13.0,500.0,0.0,0.0,0.0,0.03406524285674095,-2.8859615993499754,0.0,0.0,0.8606328368186951,4.0492868720320985e-05,0.09751046448945999,0.059314462155103685,0.022246420184269006,-1.0257580280303955,7000.0,5000.0,0.0,0.0,11500.0,13.607626676559448,23.036718606948853,931.9482052326202
14,14.0,500.0,0.0,0.0,0.0,0.037140585482120514,-3.307134570121765,0.0,0.0,0.873117208480835,3.622405347414315e-05,0.0967654287815094,0.049198599711060526,0.019958706642498155,-0.6661560535430908,7500.0,5000.0,0.0,0.0,12000.0,13.864462852478027,23.976837635040283,975.8595514297485
15,15.0,500.0,0.0,0.0,0.0,0.04219908267259598,-3.7513643465042112,0.0,0.0,0.8903828263282776,3.5785829822998494e-05,0.09589727967977524,0.03993014386296272,0.018082500632448092,-0.20049358904361725,8000.0,5000.0,0.0,0.0,12500.0,14.783100128173828,24.26923370361328,1020.629369020462
16,16.0,500.0,0.0,0.0,0.0,0.04494432732462883,-4.249821828842163,0.0,0.0,0.9029296636581421,3.55628872057423e-05,0.0940416231751442,0.03203196745365858,0.016546256482647657,0.2989582419395447,8500.0,5000.0,0.0,0.0,13000.0,13.837913990020752,23.648166179656982,1066.2613847255707
17,17.0,500.0,0.0,0.0,0.0,0.056371912360191345,-4.834723999023438,0.0,0.0,0.9197187423706055,3.1468218367081136e-05,0.093304343521595,0.0249875660687685,0.015304688487713764,0.8614201545715332,9000.0,5000.0,0.0,0.0,13500.0,13.717461347579956,23.424160480499268,1110.0897798538208
18,18.0,500.0,0.0,0.0,0.0,0.05972238630056381,-5.400259857177734,0.0,0.0,0.9218671917915344,3.8367150409612805e-05,0.09144969284534454,0.019229876283556224,0.014302672772148113,1.4020997285842896,9500.0,5000.0,0.0,0.0,14000.0,14.091868877410889,23.911321878433228,1156.0755615234375
19,19.0,500.0,0.0,0.0,0.0,0.0624200738966465,-5.956548877716065,0.0,0.0,0.9173203110694885,3.409244163776748e-05,0.0905507355928421,0.014648282662034036,0.013495311907885044,1.8924496173858643,10000.0,5000.0,0.0,0.0,14500.0,13.995219230651855,23.822695016860962,1201.9866557121277
20,20.0,500.0,0.0,0.0,0.0,0.07163230329751968,-6.410691528320313,0.0,0.0,0.9190312623977661,3.4184813557658345e-05,0.08844738453626633,0.011114922787994147,0.012837580799230546,2.3119308948516846,10500.0,5000.0,0.0,0.0,15000.0,13.393646001815796,22.909194946289062,1713.1808047294617
21,21.0,500.0,0.0,0.0,0.0,0.07132379710674286,-6.899454086303711,0.0,0.0,0.9182031154632568,3.095855936408043e-05,0.08642791956663132,0.008910147266462446,0.012272896876028696,2.580954074859619,11000.0,5000.0,0.0,0.0,15500.0,13.60123896598816,23.346895694732666,1757.4813437461853
22,22.0,500.0,0.0,0.0,0.0,0.07320130616426468,-7.355574354171753,0.0,0.0,0.917242169380188,3.333580389153212e-05,0.08408845216035843,0.007438038311898708,0.011760676997423516,2.762390613555908,11500.0,5000.0,0.0,0.0,16000.0,14.338554859161377,24.23948097229004,1803.6566622257233
