,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,0.8772574365139008,,,,,,,,,0.0,,500.0,5000.0,4350.0,4692.0,0.0,0.0,8.598664283752441,426.9727623462677
1,1.0,500.0,0.0,0.0,0.48633986711502075,,,,,,,,,0.0,,1000.0,5000.0,4350.0,4692.0,0.0,0.0,8.665348052978516,446.61073184013367
2,2.0,500.0,0.0,0.0,0.44398602843284607,,,,,,,,,0.0,,1500.0,5000.0,4350.0,4692.0,0.0,0.0,8.810710668563843,467.0373363494873
3,3.0,500.0,0.0,0.0,0.4835751950740814,,,,,,,,,0.0,,2000.0,5000.0,4350.0,4692.0,0.0,0.0,8.892691612243652,487.14332938194275
4,4.0,500.0,0.0,0.0,0.7782265245914459,,,,,,,,,0.0,,2500.0,5000.0,4350.0,4692.0,0.0,0.0,8.65891718864441,507.0165297985077
5,5.0,500.0,0.0,0.0,0.38700127601623535,0.037377819418907166,-0.5443995848465711,0.011547599919140339,0.016065217554569244,0.0,0.00015600532060489058,0.18258975446224213,0.27645590651407836,0.07940975331026674,-2.19032883644104,3000.0,5000.0,4350.0,4692.0,0.0,16.40458869934082,26.811644792556763,544.8152730464935
6,6.0,500.0,0.0,0.0,-2.1796606183052063,0.009059303440153599,-0.9721952164173127,0.011463918723165989,0.016069870442152023,0.0,9.25496788113378e-05,0.14888939261436462,0.2163611629009247,0.06461301435811569,-2.0354180335998535,3500.0,5000.0,4350.0,4692.0,0.0,16.308915615081787,26.642447471618652,594.4164292812347
7,7.0,500.0,0.0,0.0,0.3103226125240326,0.01672195829451084,-1.3567029809951783,0.011658880859613419,0.01610959693789482,0.0,0.00011893569899257272,0.14825524389743805,0.16712944084405898,0.05388058160802532,-1.6595617532730103,4000.0,5000.0,4350.0,4692.0,0.0,16.17059063911438,26.17058253288269,643.2899444103241
8,8.0,500.0,0.0,0.0,0.6008718907833099,0.016182320192456245,-1.7162946639060974,0.011603998951613903,0.016109608113765717,0.0,8.970931230578572e-05,0.14633862674236298,0.1307683520913124,0.04584197107854468,-1.2574646472930908,4500.0,5000.0,4350.0,4692.0,0.0,16.2617506980896,26.419599056243896,692.8303709030151
9,9.0,500.0,0.0,0.0,0.24081715941429138,0.019106009975075722,-2.0633977046012877,0.0116502670571208,0.016037337481975555,0.0,7.277612166944891e-05,0.14518791437149048,0.10624261164665222,0.03951934782667909,-0.987684428691864,5000.0,5000.0,4350.0,4692.0,0.0,16.364076614379883,26.491875648498535,742.3928203582764
10,10.0,500.0,0.0,0.0,0.7023870646953583,0.025018032640218735,-2.3997704391479493,0.011599498800933361,0.016167346388101578,0.0,6.395518721546978e-05,0.14459778368473053,0.08766969394683838,0.03442981971116446,-0.7495186924934387,5500.0,5000.0,4350.0,4692.0,0.0,16.16953992843628,26.213196277618408,791.4900639057159
11,11.0,500.0,0.0,0.0,0.2934130132198334,0.03949984908103943,-2.7245016021728516,0.01152001041918993,0.016076168045401573,0.0,5.5766293371561915e-05,0.1437654197216034,0.06841716047376395,0.03045743068742206,-0.21864263713359833,6000.0,5000.0,4350.0,4692.0,0.0,16.33132767677307,26.726198196411133,841.4316210746765
12,12.0,500.0,0.0,0.0,0.2934130132198334,0.052005112171173096,-3.068041028022766,0.011636615730822086,0.01610756665468216,0.0,5.737965693697333e-05,0.13882815837860107,0.028247293160209665,0.02877287559944899,2.0927045345306396,6500.0,5000.0,4350.0,4692.0,0.0,16.236785888671875,26.057251930236816,890.2889432907104
13,13.0,500.0,0.0,0.0,0.2934130132198334,0.05954628065228462,-3.391355736732483,0.011711089871823788,0.016077879816293716,0.0,5.583247184404172e-05,0.1322014182806015,0.030712153267115353,0.02682840193267998,1.7909375429153442,7000.0,5000.0,4350.0,4692.0,0.0,16.410722017288208,26.170997858047485,939.1729154586792
14,14.0,500.0,0.0,0.0,0.2934130132198334,0.06052267551422119,-3.6772681922912596,0.01170304324477911,0.01603766717016697,0.0,5.5279306252487004e-05,0.12507037818431854,0.032786051142960786,0.02465587491338612,1.4524565935134888,7500.0,5000.0,4350.0,4692.0,0.0,16.176417112350464,26.29822278022766,988.9159593582153
15,15.0,500.0,0.0,0.0,0.2934130132198334,0.06875250488519669,-4.025095980644226,0.011644135229289532,0.016107024624943733,0.0,5.090234481031075e-05,0.12005883455276489,0.023135784070938827,0.023022060465416133,2.0578105449676514,8000.0,5000.0,4350.0,4692.0,0.0,16.054086446762085,26.697077751159668,1038.8055477142334
16,16.0,500.0,0.0,0.0,0.2934130132198334,0.07040394842624664,-4.405385555267334,0.011581717990338802,0.01598931849002838,0.0,5.4531203204533085e-05,0.11330599337816238,0.023145257622003555,0.021307289708177024,1.9112114906311035,8500.0,5000.0,4350.0,4692.0,0.0,16.626770973205566,27.299343585968018,1089.4192669391632
17,17.0,500.0,0.0,0.0,0.2934130132198334,0.07708917558193207,-4.854080121994018,0.01154310442507267,0.016154993325471878,0.0,4.7738725697854534e-05,0.11148260533809662,0.015796193420886992,0.020067209253536958,2.473076105117798,9000.0,5000.0,4350.0,4692.0,0.0,16.103573083877563,26.463808059692383,1138.3285503387451
18,18.0,500.0,0.0,0.0,19.492734670639038,0.0867643877863884,-5.316168689727784,0.011574110947549343,0.01605888642370701,0.0,4.563164111459628e-05,0.10899973660707474,0.010917487578466535,0.019152997731610038,2.887031078338623,9500.0,5000.0,4350.0,4692.0,0.0,16.36980652809143,27.356489419937134,1188.5579373836517
19,19.0,500.0,0.0,0.0,0.2934130132198334,0.10854692757129669,-5.889367635726929,0.011581203900277615,0.016138652339577675,0.0,5.37703454028815e-05,0.10623306035995483,0.005280324173858389,0.018663493762498894,3.4416801929473877,10000.0,5000.0,4350.0,4692.0,0.0,16.21348786354065,26.887359380722046,1238.6954309940338
20,20.0,500.0,0.0,0.0,0.2934130132198334,0.12463713437318802,-6.3893896656036375,0.01160320546478033,0.016096750274300575,0.0,5.2532828703988343e-05,0.1051395833492279,0.0037616023316950306,0.01828074913665678,3.593080759048462,10500.0,5000.0,4350.0,4692.0,0.0,16.128173112869263,26.660326957702637,1722.0202825069427
