,episode,num_steps,score,success,estimated_score,critic_loss,actor_loss,forward_reward_loss,reverse_reward_loss,reversible_ratio,for_loss,inv_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,success_buffer,reverse_buffer,reversal_buffer,train_time,episode_time,total_time
0,0.0,500.0,0.0,0.0,19.11391019821167,,,,,,,,,0.0,,500.0,5000.0,538.0,1483.0,5000.0,0.0,9.193904876708984,467.59172654151917
1,1.0,500.0,0.0,0.0,3.392441511154175,,,,,,,,,0.0,,1000.0,5000.0,538.0,1483.0,5000.0,0.0,9.190927505493164,488.8141927719116
2,2.0,500.0,0.0,0.0,17.535064220428467,,,,,,,,,0.0,,1500.0,5000.0,538.0,1483.0,5000.0,0.0,9.969826698303223,510.9088659286499
3,3.0,500.0,0.0,0.0,5.035483121871948,,,,,,,,,0.0,,2000.0,5000.0,538.0,1483.0,5000.0,0.0,9.14001727104187,531.9242262840271
4,4.0,500.0,0.0,0.0,11.281344413757324,,,,,,,,,0.0,,2500.0,5000.0,538.0,1483.0,5000.0,0.0,9.287327766418457,553.2423169612885
5,5.0,500.0,0.0,0.0,32.160844802856445,0.25269848108291626,-0.7156870987211587,0.0006037363782525063,0.0005444996641017497,0.10164062678813934,0.002310669980943203,0.20126858353614807,0.3933725804239511,0.07987826129257558,-2.768653392791748,3000.0,5000.0,538.0,1483.0,5000.0,16.253888368606567,26.792774200439453,591.7403972148895
6,6.0,500.0,0.0,0.0,20.8585147857666,0.09066478908061981,-1.3853100719451905,0.0006066625355742872,0.000543396279681474,0.23143750429153442,0.001008506864309311,0.16856588423252106,0.298116626560688,0.06528962666729615,-2.2460038661956787,3500.0,5000.0,538.0,1483.0,5000.0,15.781784296035767,26.351504802703857,641.8504347801208
7,7.0,500.0,0.0,0.0,19.330790519714355,0.0776115134358406,-1.9872783374786378,0.000606653222348541,0.0005427203141152859,0.4090000092983246,0.0005017639487050474,0.15280038118362427,0.2085946706533432,0.055398763732575226,-0.9266934990882874,4000.0,5000.0,538.0,1483.0,5000.0,15.875449419021606,26.447970390319824,692.5758678913116
8,8.0,500.0,0.0,0.0,25.204904556274414,0.07626491039991379,-2.6137805280685424,0.0006068033399060369,0.000540766108315438,0.4085312485694885,0.0003115280414931476,0.14042174816131592,0.15182537236809732,0.04821906444154885,0.1335260421037674,4500.0,5000.0,538.0,1483.0,5000.0,16.888864517211914,27.954631805419922,743.4827656745911
9,9.0,500.0,0.0,0.0,22.849092483520508,0.0681900680065155,-3.3152375469207764,0.0006095671560615301,0.0005462894914671779,0.32566407322883606,0.0002422164980089292,0.13660724461078644,0.10978712269663811,0.04291597523378619,1.1790785789489746,5000.0,5000.0,538.0,1483.0,5000.0,16.33561658859253,27.682780027389526,794.718656539917
10,10.0,500.0,0.0,0.0,28.35436725616455,0.06783802807331085,-3.9520380783081053,0.0006066872156225145,0.0005411527235992253,0.5277656316757202,0.00021232155268080533,0.12680476903915405,0.07907780201733113,0.038950557138921364,2.1359965801239014,5500.0,5000.0,538.0,1483.0,5000.0,16.211774349212646,27.161924839019775,845.1836123466492
11,11.0,500.0,0.0,0.0,27.815229415893555,0.05919451266527176,-4.639851144790649,0.000606481684371829,0.0005415500490926206,0.5531796813011169,0.00017753307474777102,0.12021763622760773,0.05382064355909824,0.03609195295848758,3.1317310333251953,6000.0,5000.0,538.0,1483.0,5500.0,16.25390386581421,27.499727725982666,895.7928099632263
12,12.0,500.0,5.0,0.0,2.3765697479248047,0.06459110230207443,-5.2583681526184085,0.0006061666645109653,0.0005387382698245347,0.3896406292915344,0.00016845364007167518,0.11439846456050873,0.04051676405966282,0.03380322647878633,3.6821444034576416,6500.0,5000.0,538.0,1483.0,6000.0,16.09250235557556,26.769670963287354,945.9330077171326
13,13.0,500.0,0.0,0.0,24.74425983428955,0.07816929370164871,-5.925640947341919,0.0006106969085521996,0.000530968070961535,0.37822654843330383,0.00021889337222091854,0.10617833584547043,0.02561588850989938,0.03221943704353331,4.448398590087891,7000.0,5000.0,538.0,1483.0,6500.0,16.943669319152832,27.859889268875122,996.8491952419281
14,14.0,500.0,0.0,0.0,26.632119178771973,0.07242795079946518,-6.618656164169312,0.0006093308911658823,0.0005509066977538168,0.3720000088214874,0.00018495498807169497,0.09840251505374908,0.01915297911502421,0.030925616995294825,4.787426948547363,7500.0,5000.0,538.0,1483.0,6500.0,16.22691822052002,27.17971920967102,1047.5514705181122
